board,tempP1,,,,,
16,25,925,835.269,-0.275651,-0.81076,43750.1
16,26,940,887.962,-0.325574,-1.22754,43061.7
16,27,850,794.98,-0.317121,-1.19531,43275.4
16,28,865,768.045,-0.313595,0.463837,44492.9
16,29,835,779.604,-0.385029,-0.743684,43645.9
16,30,805,767.356,-0.373801,-0.40867,43827.7
16,31,835,755.465,-0.369099,0.970642,44592
17,0,775,666.931,-0.385765,0.310693,44725.6
17,1,790,711.92,-0.393967,0.148418,44842.4
17,2,805,731.61,-0.324438,0.789612,45150.6
17,3,790,712.944,-0.331608,0.966986,45349.2
17,4,835,712.202,-0.250631,-1.77208,43367.3
17,5,895,806.636,-0.288972,-1.2462,43823.7
17,6,925,862.19,-0.357061,-1.18961,44105.3
17,7,850,800.908,-0.347024,-1.87255,43312.3
17,8,820,696.457,-0.335436,-0.594715,44407.2
17,9,850,782.133,-0.34181,-1.50505,43685.3
17,10,865,801.047,-0.331855,-1.27792,43752.8
17,11,865,792.308,-0.338057,-1.14115,43726.7
17,12,775,671.842,-0.334666,-2.14887,43073.5
17,13,865,787.766,-0.406033,-1.86066,43564.9
17,14,835,778.166,-0.393843,-2.04607,43249.6
17,15,790,745.355,-0.411256,-2.01589,43193.2
17,16,880,825.726,-0.34849,-1.8341,43707.2
17,17,880,825.034,-0.337979,-1.60575,43596.3
17,18,865,810.915,-0.372237,-1.61883,43388.7
17,19,835,760.575,-0.327872,-1.96814,43087.4
17,20,910,851.543,-0.337253,-2.20383,42907.5
17,21,940,890.495,-0.314668,-1.99981,43109.1
17,22,865,817.149,-0.347653,-1.28023,43396.8
17,23,865,820.104,-0.352819,-1.16192,43654.6
17,24,970,885.076,-0.314674,-1.89086,43558.9
17,25,910,872.788,-0.274449,-1.14627,43892
17,26,925,872.909,-0.275984,-1.40201,43267.4
17,27,880,823.541,-0.313486,-1.47624,43399.8
17,28,880,803.738,-0.331115,0.148468,44381.2
17,29,820,775.979,-0.355882,-0.929629,43686.7
17,30,790,744.66,-0.376088,-0.894881,43790.3
17,31,775,685.372,-0.389924,0.530271,44619.2
18,0,865,776.492,-0.37333,0.91498,45369.9
18,1,850,796.526,-0.36958,0.242439,44935.3
18,2,895,827.336,-0.327335,1.28436,45493.7
18,3,880,789.594,-0.316261,1.2942,45719.7
18,4,940,858.486,-0.342322,-1.15119,43903.9
18,5,955,861.965,-0.30984,-0.81161,44362
18,6,955,865.741,-0.347295,-1.16724,44308.5
18,7,910,822.239,-0.336783,-1.57238,43744.9
18,8,925,839.691,-0.320722,-0.308039,44792.1
18,9,910,835.323,-0.366822,-0.884043,44275.4
18,10,925,857.485,-0.364201,-0.783189,44257.8
18,11,895,789.553,-0.358532,-0.65811,44242.5
18,12,880,800.22,-0.401875,-2.0001,43354.2
18,13,895,813.653,-0.408174,-1.40654,43999.4
18,14,910,845.933,-0.380601,-1.62083,43746.5
18,15,850,789.575,-0.373538,-1.49937,43630.8
18,16,865,786.424,-0.349368,-1.01167,44075.8
18,17,895,812.821,-0.348522,-1.15744,43834.8
18,18,865,806.821,-0.34747,-0.710289,43839.8
18,19,850,786.024,-0.349436,-1.38478,43430.1
18,20,880,803.688,-0.356031,-1.35476,43318.3
18,21,925,840.883,-0.305274,-1.42109,43468.2
18,22,850,784.246,-0.341692,-0.821295,43693.7
18,23,805,739.638,-0.335903,-0.757498,44021.5
18,24,925,852.285,-0.335658,-0.792273,43879.1
18,25,910,846.306,-0.291151,-0.472255,44255.1
18,26,910,846.001,-0.301319,-1.04752,43683.7
18,27,865,826.704,-0.327904,-0.856518,43876.7
18,28,850,750.984,-0.337542,0.87718,44865.5
18,29,790,728.857,-0.371119,-0.450248,43958.2
18,30,820,765.198,-0.380156,-0.438833,44153
18,31,805,727.686,-0.383242,0.879129,45012.5
19,0,865,784.029,-0.353165,0.624754,44353.9
19,1,865,808.648,-0.349509,0.341446,44105.7
19,2,895,819.176,-0.323534,0.60665,44503.5
19,3,880,788.165,-0.324126,1.02764,44800.8
19,4,910,811.717,-0.318332,-1.58782,42870.4
19,5,940,852.618,-0.280635,-1.27616,43254.3
19,6,910,821.928,-0.330539,-0.844094,43668.1
19,7,880,793.027,-0.343828,-1.52342,42973
19,8,880,785.27,-0.315916,0.0946132,44078.1
19,9,880,792.783,-0.329269,-0.820181,43594
19,10,865,786.418,-0.32726,-0.80409,43380.4
19,11,880,790.166,-0.353518,-0.598657,43407.1
19,12,865,772.547,-0.369703,-2.05297,42506.8
19,13,880,795.132,-0.359264,-1.65698,43084.8
19,14,880,781.922,-0.325293,-1.84103,42653.1
19,15,850,754.537,-0.3187,-1.7863,42637.8
19,16,910,803.552,-0.385638,-1.60016,43340.3
19,17,895,802.311,-0.351089,-1.68523,43086.8
19,18,940,851.7,-0.336428,-1.1854,43137.3
19,19,880,792.027,-0.304825,-1.54026,42591.8
19,20,880,782.376,-0.35024,-2.04247,42509.4
19,21,910,813.171,-0.347484,-1.61319,42686.3
19,22,910,817.007,-0.310757,-1.32879,42881.5
19,23,895,823.575,-0.345279,-1.05815,43090.1
19,24,940,833.896,-0.326368,-1.22276,43195.5
19,25,925,829.057,-0.291548,-0.981237,43472.7
19,26,925,839.922,-0.355264,-1.23872,42816.3
19,27,940,854.286,-0.304758,-1.19582,42887.3
19,28,940,838.224,-0.323682,-0.600811,43489.5
19,29,865,777.859,-0.351571,-1.52125,42683.1
19,30,850,789.041,-0.340244,-1.39345,42721.8
19,31,895,809.878,-0.320909,-0.326416,43437.6
20,0,835,733.59,-0.395944,0.063549,44174.6
20,1,850,758.04,-0.327987,0.340319,44625.4
20,2,805,697.527,-0.311222,0.863066,44765.3
20,3,820,695.225,-0.307819,0.997262,45068.2
20,4,910,802.059,-0.29596,-1.37791,43200.9
20,5,895,789.947,-0.29406,-1.05224,43565.3
20,6,895,805.147,-0.363219,-1.15451,43510.4
20,7,865,769.045,-0.346958,-1.74299,42995.9
20,8,865,749.3,-0.300069,-0.60919,43880.5
20,9,865,750.187,-0.305331,-1.39079,43327.6
20,10,865,765.024,-0.336396,-1.16235,43369.7
20,11,895,801.962,-0.332217,0.0923954,44192.5
20,12,835,730.726,-0.338142,-2.06508,42675.9
20,13,865,769.918,-0.389084,-1.03705,43679.6
20,14,820,728.43,-0.404137,-1.893,42963.5
20,15,805,697.817,-0.392588,-1.98068,42858.3
20,16,880,790.785,-0.387396,-1.75583,43225.2
20,17,880,777.86,-0.33667,-1.38942,43315.8
20,18,835,733.848,-0.349163,-1.10882,43218.6
20,19,820,710.374,-0.354926,-1.57877,42718.7
20,20,880,771.879,-0.321068,-1.92996,42660.9
20,21,910,805.099,-0.324077,-1.54466,43068.1
20,22,895,779.921,-0.338232,-1.33958,42932.6
20,23,865,773.165,-0.337248,-1.00683,43221.9
20,24,895,788.581,-0.338097,-1.35304,43246.3
20,25,925,792.174,-0.276206,-1.09607,43427.6
20,26,895,795.716,-0.334087,-0.435363,43490.7
20,27,850,744.738,-0.335211,-1.35025,42958.7
20,28,820,716.416,-0.313893,0.306561,44188.6
20,29,805,703.412,-0.402217,-0.774169,43220.1
20,30,805,712.058,-0.368622,-0.503335,43608
20,31,775,660.222,-0.365001,0.628181,44203.2
21,0,865,761.815,-0.378192,0.241461,44236.7
21,1,850,755.412,-0.379498,-0.49939,44066.3
21,2,880,770.435,-0.3547,0.48322,44530.3
21,3,910,806.106,-0.319405,0.957304,44814.1
21,4,895,777.872,-0.340047,-1.91309,42737.5
21,5,955,851.382,-0.300331,-1.53136,43262.7
21,6,955,858.962,-0.335894,-0.978022,43716
21,7,910,792.796,-0.354266,-0.710077,43569.8
21,8,880,754.243,-0.33269,-0.982156,43600.1
21,9,880,767.71,-0.333212,-1.32827,43247.9
21,10,895,771.829,-0.319435,-1.23751,43457.2
21,11,865,747.96,-0.333056,-1.10868,43283.3
21,12,850,727.054,-0.362437,-1.93062,42642.8
21,13,865,746.517,-0.36904,-1.69454,43376.4
21,14,880,775.177,-0.360332,-2.44377,42587.7
21,15,895,780.821,-0.348321,-2.42492,42556.2
21,16,850,748.641,-0.37891,-2.8148,43135.3
21,17,910,823.973,-0.342739,-2.78056,42937.4
21,18,865,775.487,-0.366417,-1.74986,43262.3
21,19,835,721.474,-0.339588,-2.19665,42831.8
21,20,880,760.493,-0.345363,-2.65686,42773.3
21,21,925,813.552,-0.320976,-2.78567,42618.9
21,22,910,811.03,-0.353204,-1.92798,42749.4
21,23,865,763.421,-0.386069,-2.04573,42972.1
21,24,895,755.398,-0.321175,-2.0111,43373
21,25,940,829.88,-0.29522,-1.37105,43869.2
21,26,895,798.695,-0.305829,-1.80601,42910.3
21,27,880,784.82,-0.328747,-1.5427,43489.3
21,28,865,733.391,-0.316429,-0.706372,43936.4
21,29,805,697.7,-0.404649,-1.17385,43702.1
21,30,805,714.244,-0.442943,-1.47488,43412.3
21,31,820,705.31,-0.34291,-0.49926,44128.4
